route_id,service_id,trip_id,trip_headsign,direction_id
69,SEMAINE,,69 STATION LA GAPPE via ST-LOUIS,0
71,SEMAINE,,71 STATION LA CITÉ via DAVIDSON,1
71,SEMAINE,,71 STATION LABROSSE via DAVIDSON,0
72,SEMAINE,,72 STATION LA CITÉ via MAIN/CANIPCO,1
72,SEMAINE,,72 STATION LABROSSE via MAIN/CANIPCO,0
73,SEMAINE,,73 STATION LA CITÉ via MAGNUS,1
73,SEMAINE,,73 STATION LABROSSEvia MAGNUS,0
74,SEMAINE,,74 BOUL. AÉROPORT via MALONEY est,0
74,SEMAINE,,74 STATION LABROSSE via MALONEY est,1
75,SEMAINE,,75 LORRAIN/LA VÉRENDRYE via  NOTRE-DAME,0
75,SEMAINE,,75 STATION LABROSSE via NOTRE-DAME,1
76,SEMAINE,,76 STATION LA CITÉ via LA VÉRENDRYE,1
76,SEMAINE,,76 STATION LABROSSE via LA VÉRENDRYE,0
77,SEMAINE,,77 CHEVAL-BLANC via ST-RENÉ,0
77,SEMAINE,,77 STATION LABROSSE via ST-RENÉ/CHEVAL BLANC,1
78,SEMAINE,,78 CHEVAL-BLANC via STE-ROSE,0
78,SEMAINE,,78 STATION LABROSSE via STE-ROSE,1
79,SEMAINE,,79 ST-THOMAS via LORRAIN,0
79,SEMAINE,,79 STATION LABROSSE via LORRAIN,1
93,SEMAINE,,93 MASSON-ANGERS,0
93,SEMAINE,,93 STATION LA CITÉ,1
95,SEMAINE,,95 BUCKINGHAM,0
95,SEMAINE,,95 STATION DE LA CITÉ,1
97,SEMAINE,,97 MASSON via MALONEY/ANGERS/BUCKINGHAM,0
97,SEMAINE,,97 STATION LABROSSE via BUCKINGHAM/ANGERS/MALONEY,1
10,SEMAINE,,100 STATION LABROSSE via RAPIBUS,0
10,SEMAINE,,100 TERRASSES CHAUDIÈRE via PLACE D'ACCUEIL,1
20,SEMAINE,,200 OTTAWA,1
20,SEMAINE,,200 STATION LABROSSE via RAPIBUS,0
30,SEMAINE,,300 OTTAWA,1
30,SEMAINE,,300 STATION LABROSSE via RAPIBUS,0
40,SEMAINE,,400 OTTAWA via TERRASSES CHAUDIÈRE,1
40,SEMAINE,,400 STATION LABROSSE via RAPIBUS,0
80,SEMAINE,,800 RIVERMEAD via TACHÉ-UQO,1
80,SEMAINE,,800 STATION LABROSSE via RAPIBUS,0
81,SEMAINE,,810 RIVERMEAD via TACHÉ-UQO,1
81,SEMAINE,,810 STATION LABROSSE via RAPIBUS</option></select>,0
